,symbol,date,coin_name,coin_price,compound_average,positive_average,neutral_average,negative_average
0,BTC,6/1/2017,bitcoin,2412.65,0.149816,0.08608,0.90068,0.01324
1,ETH,6/1/2017,ethereum,220.7,0.159724,0.09088,0.88392,0.02516
2,XRP,6/1/2017,ripple,0.3364,0.011416,0.01192,0.98444,0.00364
3,BCH,6/1/2017,bitcoin cash,0,-0.029728,0.02052,0.95932,0.02016
4,ADA,6/1/2017,cardano,0,0.033376,0.04176,0.94024,0.018
5,LTC,6/1/2017,litecoin,27.55,0.31392,0.15872,0.83496,0.00632
6,XLM,6/1/2017,stellar,0.04128,0.19964,0.17804,0.79256,0.0294
7,NEO,6/1/2017,neo,1.14,0.023964,0.01072,0.9824,0.00688
8,EOS,6/1/2017,eos,0,0.033984,0.0588,0.92016,0.02104
9,XEM,6/1/2017,nem,0.2289,-0.009108,0.00776,0.98168,0.01056
10,BTC,6/2/2017,bitcoin,2492.6,0.058584,0.05616,0.92836,0.01548
11,ETH,6/2/2017,ethereum,222.04,-0.02246,0.08968,0.8372,0.07312
12,XRP,6/2/2017,ripple,0.2959,-0.050444,0.005,0.9664,0.0286
13,BCH,6/2/2017,bitcoin cash,0,0.08528,0.078,0.89408,0.02788
14,ADA,6/2/2017,cardano,0,0.065384,0.13784,0.7982,0.06396
15,LTC,6/2/2017,litecoin,28.27,-0.007604,0.00412,0.99024,0.00564
16,XLM,6/2/2017,stellar,0.03933,0.284704,0.15088,0.82344,0.02568
17,NEO,6/2/2017,neo,1.25,-0.001312,0.00544,0.97984,0.01472
18,EOS,6/2/2017,eos,0,0.036064,0.0678,0.91644,0.01576
19,XEM,6/2/2017,nem,0.2158,-0.006268,0.01684,0.96588,0.01728
20,BTC,6/3/2017,bitcoin,2545.43,0.081472,0.11696,0.82532,0.05776
21,ETH,6/3/2017,ethereum,224.3,0.120976,0.09576,0.89228,0.01196
22,XRP,6/3/2017,ripple,0.2921,0.091688,0.06888,0.8756,0.05552
23,BCH,6/3/2017,bitcoin cash,0,0.200512,0.08424,0.90052,0.01524
24,ADA,6/3/2017,cardano,0,-0.02368,0,0.98468,0.01532
25,LTC,6/3/2017,litecoin,27.27,0.083204,0.05832,0.92836,0.01332
26,XLM,6/3/2017,stellar,0.0392,0.077748,0.10292,0.8472,0.04988
27,NEO,6/3/2017,neo,1.19,0.01728,0.07972,0.86936,0.05096
28,EOS,6/3/2017,eos,0,0.014944,0.01592,0.95776,0.02632
29,XEM,6/3/2017,nem,0.2108,0.013984,0.019,0.9654,0.0156
30,BTC,6/4/2017,bitcoin,2524.06,0.182628,0.11456,0.85648,0.02896
31,ETH,6/4/2017,ethereum,244.96,0.113972,0.10504,0.88128,0.01368
32,XRP,6/4/2017,ripple,0.2941,0.108896,0.0562,0.93804,0.00576
33,BCH,6/4/2017,bitcoin cash,0,0.093576,0.05064,0.93744,0.01196
34,ADA,6/4/2017,cardano,0,0.018456,0.04108,0.93052,0.0284
35,LTC,6/4/2017,litecoin,27.89,0.122668,0.08132,0.9018,0.01688
36,XLM,6/4/2017,stellar,0.0398,0.138288,0.14556,0.77604,0.0784
37,NEO,6/4/2017,neo,1.22,0.101644,0.059,0.941,0
38,EOS,6/4/2017,eos,0,-0.05618,0.01008,0.96116,0.02876
39,XEM,6/4/2017,nem,0.2139,-0.038952,0,0.97188,0.02812
40,BTC,6/5/2017,bitcoin,2704.96,0.16166,0.10632,0.85364,0.04008
41,ETH,6/5/2017,ethereum,247.75,0.059256,0.04332,0.95408,0.0026
42,XRP,6/5/2017,ripple,0.2888,0.131344,0.08884,0.8902,0.02096
43,BCH,6/5/2017,bitcoin cash,0,0.316828,0.12252,0.87748,0
44,ADA,6/5/2017,cardano,0,0,0,1,0
45,LTC,6/5/2017,litecoin,30.78,0.140788,0.12516,0.87068,0.00416
46,XLM,6/5/2017,stellar,0.04064,0.189948,0.14752,0.81176,0.04072
47,NEO,6/5/2017,neo,1.24,0.034712,0.03516,0.93552,0.02932
48,EOS,6/5/2017,eos,0,-0.111864,0,0.95888,0.04112
49,XEM,6/5/2017,nem,0.2308,0.012656,0.00552,0.98492,0.00956
50,BTC,6/6/2017,bitcoin,2870.5,0.066004,0.0912,0.86136,0.04744
51,ETH,6/6/2017,ethereum,264.26,0.085116,0.0804,0.89664,0.023
52,XRP,6/6/2017,ripple,0.284,0.227496,0.13864,0.85268,0.00868
53,BCH,6/6/2017,bitcoin cash,0,0.289572,0.11872,0.871,0.01028
54,ADA,6/6/2017,cardano,0,-0.029056,0.01264,0.95584,0.03148
55,LTC,6/6/2017,litecoin,30.07,0.072224,0.03112,0.96888,0
56,XLM,6/6/2017,stellar,0.04453,0.306448,0.14836,0.84188,0.00976
57,NEO,6/6/2017,neo,1.28,0.0441,0.05396,0.89004,0.016
58,EOS,6/6/2017,eos,0,0.051792,0.06352,0.8994,0.03708
59,XEM,6/6/2017,nem,0.2279,-0.049728,0.006,0.96156,0.03244
60,BTC,6/7/2017,bitcoin,2691.51,0.156056,0.11536,0.84696,0.03768
61,ETH,6/7/2017,ethereum,255.77,0.223772,0.1392,0.83644,0.0244
62,XRP,6/7/2017,ripple,0.2762,0.044932,0.04112,0.94368,0.0152
63,BCH,6/7/2017,bitcoin cash,0,0.177828,0.11472,0.857,0.02828
64,ADA,6/7/2017,cardano,0,-0.014128,0.01508,0.96372,0.02116
65,LTC,6/7/2017,litecoin,28.47,0.045008,0.0336,0.95972,0.00668
66,XLM,6/7/2017,stellar,0.0466,0.285876,0.13896,0.83792,0.02312
67,NEO,6/7/2017,neo,1.34,0.035768,0.05148,0.87488,0.03364
68,EOS,6/7/2017,eos,0,0.065428,0.05448,0.92356,0.02196
69,XEM,6/7/2017,nem,0.216,0.016752,0.01524,0.97332,0.01144
70,BTC,6/8/2017,bitcoin,2798.78,0.079268,0.07504,0.8898,0.03516
71,ETH,6/8/2017,ethereum,259.41,0.079264,0.10828,0.84508,0.04668
72,XRP,6/8/2017,ripple,0.2869,0.136512,0.09484,0.87448,0.03072
73,BCH,6/8/2017,bitcoin cash,0,0.201708,0.12764,0.83984,0.03256
74,ADA,6/8/2017,cardano,0,0.04718,0.02656,0.97344,0
75,LTC,6/8/2017,litecoin,29.9,0.052428,0.03188,0.95224,0.01588
76,XLM,6/8/2017,stellar,0.05017,0.257836,0.13768,0.82884,0.03336
77,NEO,6/8/2017,neo,1.31,0.015132,0.02304,0.959,0.01796
78,EOS,6/8/2017,eos,0,0.080356,0.05824,0.91992,0.02184
79,XEM,6/8/2017,nem,0.2188,-0.034136,0,0.97524,0.02476
80,BTC,6/9/2017,bitcoin,2811.43,0.077988,0.03556,0.96444,0
81,ETH,6/9/2017,ethereum,279.11,0.240096,0.12016,0.87548,0.00436
82,XRP,6/9/2017,ripple,0.2814,0.07764,0.06268,0.92064,0.01664
83,BCH,6/9/2017,bitcoin cash,0,0.208944,0.09404,0.90208,0.00388
84,ADA,6/9/2017,cardano,0,0.055712,0.06084,0.92252,0.01664
85,LTC,6/9/2017,litecoin,29.54,0.057204,0.04928,0.9204,0.03028
86,XLM,6/9/2017,stellar,0.04739,0.165124,0.09268,0.87896,0.0284
87,NEO,6/9/2017,neo,1.64,0.020316,0.03868,0.9344,0.02692
88,EOS,6/9/2017,eos,0,0.048508,0.032,0.9588,0.0092
89,XEM,6/9/2017,nem,0.2164,-0.07358,0,0.96152,0.03848
90,BTC,6/10/2017,bitcoin,2900.25,0.144368,0.11068,0.8606,0.02876
91,ETH,6/10/2017,ethereum,335.95,0.239128,0.14836,0.84304,0.0086
