,symbol,date,coin_name,coin_price,compound_average,positive_average,neutral_average,negative_average
0,BTC,2/1/2017,bitcoin,982.43,-0.002876,0.0336,0.9432,0.0232
1,ETH,2/1/2017,ethereum,10.71,0.147932,0.0778,0.91016,0.01208
2,XRP,2/1/2017,ripple,0.00649,0.002512,0.06728,0.87168,0.061
3,BCH,2/1/2017,bitcoin cash,0,0.0446,0.0516,0.92192,0.0264
4,ADA,2/1/2017,cardano,0,0.032996,0.02904,0.95648,0.01444
5,LTC,2/1/2017,litecoin,4,0.068,0.06532,0.90284,0.03184
6,XLM,2/1/2017,stellar,0.002338,0.20186,0.12688,0.83248,0.0406
7,NEO,2/1/2017,neo,0.1462,-0.003564,0.03336,0.93592,0.03072
8,EOS,2/1/2017,eos,0,0.030572,0.07044,0.87888,0.05068
9,XEM,2/1/2017,nem,0.005444,0.07454,0.03912,0.96088,0
10,BTC,2/2/2017,bitcoin,1003.97,0.186128,0.1134,0.87352,0.01308
11,ETH,2/2/2017,ethereum,10.78,0.133488,0.07304,0.91896,0.008
12,XRP,2/2/2017,ripple,0.0064,0.089984,0.08944,0.85124,0.0594
13,BCH,2/2/2017,bitcoin cash,0,0.121408,0.101,0.84988,0.04912
14,ADA,2/2/2017,cardano,0,0.033064,0.02776,0.9522,0.02
15,LTC,2/2/2017,litecoin,4.03,0.015248,0.05844,0.88632,0.05524
16,XLM,2/2/2017,stellar,0.002409,0.14094,0.08268,0.89988,0.01744
17,NEO,2/2/2017,neo,0.1459,-0.014996,0.05524,0.90708,0.03768
18,EOS,2/2/2017,eos,0,-0.082448,0.04568,0.88528,0.06904
19,XEM,2/2/2017,nem,0.006284,-0.01846,0.0154,0.97156,0.01304
20,BTC,2/3/2017,bitcoin,1013.02,0.127808,0.07704,0.89064,0.0324
21,ETH,2/3/2017,ethereum,10.95,0.093208,0.07,0.9052,0.0248
22,XRP,2/3/2017,ripple,0.00638,0.012564,0.051,0.9014,0.0476
23,BCH,2/3/2017,bitcoin cash,0,-0.028108,0.03436,0.90484,0.0608
24,ADA,2/3/2017,cardano,0,0.03052,0.0202,0.932,0.00776
25,LTC,2/3/2017,litecoin,3.99,0.169536,0.1062,0.86056,0.03324
26,XLM,2/3/2017,stellar,0.00237,0.152332,0.08908,0.88592,0.02504
27,NEO,2/3/2017,neo,0.1322,0.051496,0.05032,0.91372,0.03596
28,EOS,2/3/2017,eos,0,0.105844,0.0578,0.9216,0.02056
29,XEM,2/3/2017,nem,0.006879,0.007928,0.01352,0.97748,0.009
30,BTC,2/4/2017,bitcoin,1031.85,0.0837,0.05712,0.92776,0.01512
31,ETH,2/4/2017,ethereum,11.32,0.058696,0.04908,0.9256,0.02532
32,XRP,2/4/2017,ripple,0.006398,0.108564,0.0556,0.93388,0.01052
33,BCH,2/4/2017,bitcoin cash,0,0.137296,0.06988,0.9232,0.00692
34,ADA,2/4/2017,cardano,0,0.146636,0.07312,0.91128,0.01552
35,LTC,2/4/2017,litecoin,3.96,0.068268,0.06752,0.89424,0.03828
36,XLM,2/4/2017,stellar,0.002324,0.193456,0.08764,0.90072,0.0116
37,NEO,2/4/2017,neo,0.1444,-0.004464,0.03584,0.95268,0.01148
38,EOS,2/4/2017,eos,0,0.053988,0.0502,0.91788,0.03184
39,XEM,2/4/2017,nem,0.007094,-0.027488,0.00568,0.9738,0.02052
40,BTC,2/5/2017,bitcoin,1016.11,0.182196,0.09736,0.88,0.02264
41,ETH,2/5/2017,ethereum,11.22,0.034984,0.04244,0.9282,0.0294
42,XRP,2/5/2017,ripple,0.00629,0.142616,0.10148,0.88856,0.01
43,BCH,2/5/2017,bitcoin cash,0,0.159808,0.07336,0.9074,0.01924
