,symbol,date,coin_name,coin_price,compound_average,positive_average,neutral_average,negative_average
0,BTC,2017-08-15,bitcoin,4161.66,0.089156,0.06068,0.89628,0.04304
1,ETH,2017-08-15,ethereum,286.52,0.24916399999999997,0.1384,0.83124,0.03036
2,XRP,2017-08-15,ripple,0.1577,0.12057999999999999,0.09944000000000001,0.86128,0.03932
3,BCH,2017-08-15,bitcoin cash,297.36,0.12562,0.06768,0.92252,0.0098
4,ADA,2017-08-15,cardano,0.0,0.09044,0.050359999999999995,0.94192,0.00768
5,LTC,2017-08-15,litecoin,43.17,0.12372,0.09228000000000001,0.8707999999999998,0.03692
6,XLM,2017-08-15,stellar,0.01738,0.23107599999999998,0.13956,0.8374799999999999,0.023039999999999998
7,NEO,2017-08-15,neo,47.5,-0.0851,0.0432,0.8840399999999999,0.07271999999999999
8,EOS,2017-08-15,eos,1.62,0.002988000000000002,0.020720000000000002,0.97092,0.008360000000000001
9,XEM,2017-08-15,nem,0.2458,-0.038136,0.0,0.9752,0.024800000000000003
10,BTC,2017-08-16,bitcoin,4387.4,0.09751199999999999,0.0832,0.86808,0.04868
11,ETH,2017-08-16,ethereum,301.38,0.10764,0.059320000000000005,0.9334800000000001,0.0072
12,XRP,2017-08-16,ripple,0.1603,0.195756,0.12784,0.8535999999999998,0.01856
13,BCH,2017-08-16,bitcoin cash,299.68,0.11338799999999999,0.06763999999999999,0.90416,0.028239999999999998
14,ADA,2017-08-16,cardano,0.0,0.12168399999999999,0.07116,0.91912,0.00968
15,LTC,2017-08-16,litecoin,43.97,0.27146000000000003,0.20732,0.78244,0.01024
16,XLM,2017-08-16,stellar,0.01774,0.2084,0.14184000000000002,0.8222399999999999,0.03588
17,NEO,2017-08-16,neo,45.99,-0.172604,0.06332,0.83144,0.10520000000000002
18,EOS,2017-08-16,eos,1.59,0.137256,0.09960000000000001,0.8912800000000002,0.00912
19,XEM,2017-08-16,nem,0.2568,-0.01734399999999999,0.01196,0.9641200000000001,0.02392
20,BTC,2017-08-17,bitcoin,4278.92,0.010476,0.02496,0.9540000000000001,0.02104
21,ETH,2017-08-17,ethereum,300.3,0.052552,0.07364,0.8821599999999999,0.044199999999999996
22,XRP,2017-08-17,ripple,0.1578,0.04182,0.036520000000000004,0.95144,0.01204
23,BCH,2017-08-17,bitcoin cash,445.19,0.10020399999999999,0.056440000000000004,0.93476,0.008799999999999999
24,ADA,2017-08-17,cardano,0.0,-0.015667999999999998,0.024080000000000004,0.9532799999999999,0.02268
25,LTC,2017-08-17,litecoin,43.83,0.143212,0.09023999999999999,0.87848,0.03128
26,XLM,2017-08-17,stellar,0.01728,0.274248,0.16172,0.7967599999999999,0.04156
27,NEO,2017-08-17,neo,40.39,-0.011272000000000003,0.06124,0.87336,0.0654
28,EOS,2017-08-17,eos,1.52,0.09579599999999999,0.04443999999999999,0.8999199999999999,0.01568
29,XEM,2017-08-17,nem,0.2452,-0.026468,0.01232,0.96612,0.02152
30,BTC,2017-08-18,bitcoin,4105.37,0.15328799999999998,0.09524,0.88888,0.01592
31,ETH,2017-08-18,ethereum,292.62,0.08722400000000001,0.12248,0.8395599999999999,0.03796
32,XRP,2017-08-18,ripple,0.1569,0.059892,0.08632,0.86432,0.04936
33,BCH,2017-08-18,bitcoin cash,689.83,0.016176000000000003,0.03828,0.9243199999999999,0.0374
34,ADA,2017-08-18,cardano,0.0,-0.04646000000000001,0.0077599999999999995,0.9633600000000001,0.028920000000000005
35,LTC,2017-08-18,litecoin,46.74,0.085296,0.08664,0.9002399999999998,0.013079999999999998
36,XLM,2017-08-18,stellar,0.01675,0.234056,0.14892,0.80696,0.04412
37,NEO,2017-08-18,neo,38.88,-0.041983999999999994,0.01908,0.9556,0.02532
38,EOS,2017-08-18,eos,1.4,0.102724,0.052039999999999996,0.92496,0.022959999999999998
39,XEM,2017-08-18,nem,0.2412,-0.040136000000000005,0.0,0.9815200000000001,0.01848
40,BTC,2017-08-19,bitcoin,4150.45,0.07428399999999999,0.08356,0.8827200000000001,0.03368
41,ETH,2017-08-19,ethereum,293.02,0.086124,0.08039999999999999,0.8982399999999999,0.021400000000000002
42,XRP,2017-08-19,ripple,0.1526,-0.10852,0.01436,0.9129999999999998,0.07264
43,BCH,2017-08-19,bitcoin cash,738.54,0.067568,0.08911999999999999,0.8808,0.03008
44,ADA,2017-08-19,cardano,0.0,-0.032440000000000004,0.005639999999999999,0.96848,0.02588
45,LTC,2017-08-19,litecoin,45.19,0.02672,0.10236,0.84596,0.05167999999999999
46,XLM,2017-08-19,stellar,0.01649,0.20090400000000003,0.09356000000000002,0.89568,0.01076
47,NEO,2017-08-19,neo,39.82,-0.01662000000000001,0.04936,0.90864,0.04208
48,EOS,2017-08-19,eos,1.39,-0.052892,0.012,0.9618800000000001,0.026160000000000003
49,XEM,2017-08-19,nem,0.2549,-0.016388,0.01232,0.9608000000000001,0.026840000000000003
50,BTC,2017-08-20,bitcoin,4066.6,0.053340000000000005,0.0756,0.88628,0.03812
51,ETH,2017-08-20,ethereum,298.2,0.23316000000000003,0.10268000000000001,0.8784000000000001,0.01892
52,XRP,2017-08-20,ripple,0.1587,0.10939199999999999,0.0748,0.90136,0.02384
53,BCH,2017-08-20,bitcoin cash,719.27,0.142288,0.12219999999999999,0.81792,0.05988
54,ADA,2017-08-20,cardano,0.0,-0.010440000000000003,0.06416000000000001,0.8998400000000001,0.036000000000000004
55,LTC,2017-08-20,litecoin,45.81,0.09641200000000001,0.07168,0.91232,0.016
56,XLM,2017-08-20,stellar,0.0177,0.15136799999999997,0.09432,0.8724799999999999,0.0332
57,NEO,2017-08-20,neo,38.5,-0.03553599999999999,0.050199999999999995,0.87664,0.0732
58,EOS,2017-08-20,eos,1.36,0.08176,0.047040000000000005,0.9476399999999999,0.00532
59,XEM,2017-08-20,nem,0.276,-0.032608,0.008,0.97044,0.021560000000000003
60,BTC,2017-08-21,bitcoin,4005.1,0.165972,0.0966,0.88652,0.016880000000000003
61,ETH,2017-08-21,ethereum,321.85,0.048979999999999996,0.09032,0.86716,0.0426
62,XRP,2017-08-21,ripple,0.1958,0.11169999999999998,0.07688,0.90432,0.01876
63,BCH,2017-08-21,bitcoin cash,605.22,0.22628399999999999,0.128,0.84012,0.03188
64,ADA,2017-08-21,cardano,0.0,0.041616,0.0194,0.9732,0.0074399999999999996
65,LTC,2017-08-21,litecoin,48.09,0.20913600000000002,0.12872,0.86124,0.01004
66,XLM,2017-08-21,stellar,0.01955,0.32760799999999995,0.13964000000000001,0.84252,0.01784
67,NEO,2017-08-21,neo,35.46,-0.018543999999999998,0.029679999999999998,0.93628,0.03404
68,EOS,2017-08-21,eos,1.33,0.09106,0.056280000000000004,0.93072,0.012999999999999998
69,XEM,2017-08-21,nem,0.2465,-0.021479999999999996,0.0064,0.97512,0.01848
70,BTC,2017-08-22,bitcoin,4089.7,0.08388400000000001,0.07048000000000001,0.9002000000000001,0.029320000000000002
71,ETH,2017-08-22,ethereum,313.37,-0.176688,0.04292,0.83028,0.12676
72,XRP,2017-08-22,ripple,0.2421,0.07676,0.0288,0.9312,0.0
73,BCH,2017-08-22,bitcoin cash,684.6,0.11866800000000001,0.06336,0.93148,0.0051600000000000005
74,ADA,2017-08-22,cardano,0.0,0.039988,0.011080000000000001,0.9889199999999999,0.0
75,LTC,2017-08-22,litecoin,46.4,0.14599199999999998,0.09664,0.85508,0.04824
76,XLM,2017-08-22,stellar,0.02153,0.246336,0.128,0.8454799999999999,0.026520000000000002
77,NEO,2017-08-22,neo,35.6,-0.046472,0.01496,0.94476,0.040279999999999996
78,EOS,2017-08-22,eos,1.27,0.16080800000000003,0.14228,0.823,0.03476
79,XEM,2017-08-22,nem,0.2495,-0.024996,0.0,0.9864799999999999,0.01352
80,BTC,2017-08-23,bitcoin,4141.09,0.031852000000000005,0.028280000000000003,0.94528,0.02644
81,ETH,2017-08-23,ethereum,317.4,0.022828,0.07908,0.86032,0.06056
82,XRP,2017-08-23,ripple,0.2457,0.174512,0.12303999999999998,0.8600399999999999,0.01692
83,BCH,2017-08-23,bitcoin cash,674.08,-0.014231999999999996,0.07284,0.8612400000000001,0.06592
84,ADA,2017-08-23,cardano,0.0,0.218112,0.10228,0.8713200000000001,0.02628
