,symbol,date,coin_name,coin_price,compound_average,positive_average,neutral_average,negative_average
0,BTC,2017-06-01,bitcoin,2412.65,0.149816,0.08608,0.9006799999999999,0.013239999999999998
1,ETH,2017-06-01,ethereum,220.7,0.15972400000000003,0.09088000000000002,0.8839199999999999,0.025160000000000002
2,XRP,2017-06-01,ripple,0.3364,0.011415999999999999,0.011920000000000002,0.98444,0.00364
3,BCH,2017-06-01,bitcoin cash,0.0,-0.029728000000000004,0.02052,0.9593200000000001,0.02016
4,ADA,2017-06-01,cardano,0.0,0.03337599999999999,0.04176,0.94024,0.018
5,LTC,2017-06-01,litecoin,27.55,0.31392,0.15872000000000003,0.8349599999999999,0.00632
6,XLM,2017-06-01,stellar,0.04128,0.19963999999999998,0.17804000000000003,0.79256,0.0294
7,NEO,2017-06-01,neo,1.14,0.023964,0.01072,0.9823999999999999,0.00688
8,EOS,2017-06-01,eos,0.0,0.03398399999999999,0.058800000000000005,0.9201599999999999,0.02104
9,XEM,2017-06-01,nem,0.2289,-0.009107999999999996,0.00776,0.9816800000000001,0.01056
10,BTC,2017-06-02,bitcoin,2492.6,0.058584,0.056159999999999995,0.92836,0.01548
11,ETH,2017-06-02,ethereum,222.04,-0.02245999999999999,0.08968000000000002,0.8371999999999999,0.07311999999999999
12,XRP,2017-06-02,ripple,0.2959,-0.050444,0.005,0.9664,0.0286
13,BCH,2017-06-02,bitcoin cash,0.0,0.08528000000000001,0.07800000000000001,0.89408,0.02788
14,ADA,2017-06-02,cardano,0.0,0.065384,0.13784,0.7982,0.06396
15,LTC,2017-06-02,litecoin,28.27,-0.007604,0.0041199999999999995,0.99024,0.005639999999999999
16,XLM,2017-06-02,stellar,0.03933,0.284704,0.15088,0.82344,0.02568
17,NEO,2017-06-02,neo,1.25,-0.001312000000000002,0.00544,0.97984,0.01472
18,EOS,2017-06-02,eos,0.0,0.036064000000000006,0.0678,0.91644,0.01576
19,XEM,2017-06-02,nem,0.2158,-0.006267999999999998,0.01684,0.96588,0.017279999999999997
20,BTC,2017-06-03,bitcoin,2545.43,0.081472,0.11696000000000001,0.8253199999999999,0.05776
21,ETH,2017-06-03,ethereum,224.3,0.120976,0.09576000000000001,0.8922800000000001,0.01196
22,XRP,2017-06-03,ripple,0.2921,0.091688,0.06888,0.8756,0.05552000000000001
23,BCH,2017-06-03,bitcoin cash,0.0,0.20051200000000002,0.08424,0.9005199999999999,0.01524
24,ADA,2017-06-03,cardano,0.0,-0.02368,0.0,0.98468,0.01532
25,LTC,2017-06-03,litecoin,27.27,0.08320400000000001,0.05832000000000001,0.9283599999999999,0.013319999999999999
26,XLM,2017-06-03,stellar,0.0392,0.07774800000000001,0.10291999999999998,0.8472,0.04988000000000001
27,NEO,2017-06-03,neo,1.19,0.017280000000000007,0.07972,0.8693599999999999,0.05096
28,EOS,2017-06-03,eos,0.0,0.014943999999999997,0.01592,0.9577600000000001,0.02632
29,XEM,2017-06-03,nem,0.2108,0.013984000000000002,0.019,0.9653999999999999,0.015600000000000001
30,BTC,2017-06-04,bitcoin,2524.06,0.182628,0.11456,0.8564799999999999,0.02896
31,ETH,2017-06-04,ethereum,244.96,0.113972,0.10504,0.88128,0.01368
32,XRP,2017-06-04,ripple,0.2941,0.10889600000000002,0.05619999999999999,0.93804,0.0057599999999999995
33,BCH,2017-06-04,bitcoin cash,0.0,0.09357599999999999,0.05064,0.93744,0.011960000000000002
34,ADA,2017-06-04,cardano,0.0,0.018455999999999997,0.041080000000000005,0.9305199999999999,0.028399999999999998
35,LTC,2017-06-04,litecoin,27.89,0.122668,0.08132,0.9018,0.016880000000000003
36,XLM,2017-06-04,stellar,0.0398,0.13828800000000002,0.14556,0.77604,0.0784
37,NEO,2017-06-04,neo,1.22,0.10164400000000001,0.059000000000000004,0.941,0.0
38,EOS,2017-06-04,eos,0.0,-0.05618,0.01008,0.96116,0.028760000000000004
39,XEM,2017-06-04,nem,0.2139,-0.038952,0.0,0.9718800000000001,0.028120000000000003
40,BTC,2017-06-05,bitcoin,2704.96,0.16166,0.10632,0.8536400000000001,0.04008
41,ETH,2017-06-05,ethereum,247.75,0.059256,0.043320000000000004,0.95408,0.0026
42,XRP,2017-06-05,ripple,0.2888,0.131344,0.08884,0.8902,0.02096
43,BCH,2017-06-05,bitcoin cash,0.0,0.316828,0.12252,0.8774799999999999,0.0
44,ADA,2017-06-05,cardano,0.0,0.0,0.0,1.0,0.0
45,LTC,2017-06-05,litecoin,30.78,0.140788,0.12516,0.87068,0.00416
46,XLM,2017-06-05,stellar,0.04064,0.189948,0.14751999999999998,0.81176,0.04072
47,NEO,2017-06-05,neo,1.24,0.03471200000000001,0.03516,0.9355199999999999,0.02932
