,symbol,date,coin_name,coin_price,compound_average,positive_average,neutral_average,negative_average
230,BTC,4/1/2017,bitcoin,1086.12,0.092144,0.09164,0.86116,0.0472
231,ETH,4/1/2017,ethereum,50.6,0.205324,0.09016,0.90984,0
232,XRP,4/1/2017,ripple,0.022,0.158252,0.07424,0.92576,0
233,BCH,4/1/2017,bitcoin cash,0,0.1446,0.09604,0.8526,0.05136
234,ADA,4/1/2017,cardano,0,0.1709,0.12804,0.84,0.03184
235,LTC,4/1/2017,litecoin,7.48,0.04382,0.05716,0.91272,0.03012
236,XLM,4/1/2017,stellar,0.00285,0.350836,0.1568,0.8348,0.0084
237,NEO,4/1/2017,neo,0.2043,0.044856,0.02892,0.96832,0.00276
238,EOS,4/1/2017,eos,0,-0.117812,0.04172,0.8118,0.14648
239,XEM,4/1/2017,nem,0.01753,-0.041232,0,0.97436,0.02564
240,BTC,4/2/2017,bitcoin,1097.4,0.067164,0.0854,0.8594,0.0552
241,ETH,4/2/2017,ethereum,48.55,0.074868,0.0438,0.9524,0.0038
242,XRP,4/2/2017,ripple,0.0615,0.126064,0.05868,0.94132,0
243,BCH,4/2/2017,bitcoin cash,0,0.159544,0.07432,0.914,0.01164
244,ADA,4/2/2017,cardano,0,0.138068,0.12368,0.87632,0
245,LTC,4/2/2017,litecoin,8.22,0.063668,0.07216,0.88072,0.04716
246,XLM,4/2/2017,stellar,0.004405,0.20604,0.10324,0.881,0.01576
247,NEO,4/2/2017,neo,0.1931,-0.00308,0.03484,0.91948,0.04568
248,EOS,4/2/2017,eos,0,0.078784,0.08224,0.86596,0.05176
249,XEM,4/2/2017,nem,0.01627,-0.01856,0.00388,0.98436,0.01176
250,BTC,4/3/2017,bitcoin,1147.56,-0.009384,0.06688,0.8668,0.06628
251,ETH,4/3/2017,ethereum,44.13,0.096324,0.06068,0.93032,0.009
252,XRP,4/3/2017,ripple,0.03201,0.03164,0.04368,0.92024,0.03608
253,BCH,4/3/2017,bitcoin cash,0,0.172996,0.07256,0.92056,0.00684
254,ADA,4/3/2017,cardano,0,-0.001452,0.01968,0.96284,0.01748
255,LTC,4/3/2017,litecoin,8.57,0.147624,0.0932,0.87836,0.02844
256,XLM,4/3/2017,stellar,0.003036,0.108908,0.07636,0.87436,0.04932
257,NEO,4/3/2017,neo,0.1855,0.086284,0.06472,0.92332,0.012
258,EOS,4/3/2017,eos,0,0.041892,0.06908,0.8888,0.04216
259,XEM,4/3/2017,nem,0.02034,-0.00672,0.00308,0.98972,0.0072
260,BTC,4/4/2017,bitcoin,1141.77,0.0754,0.07416,0.89364,0.0322
261,ETH,4/4/2017,ethereum,44.43,0.181024,0.09364,0.89372,0.01264
262,XRP,4/4/2017,ripple,0.03787,0.011,0.02424,0.95988,0.01588
263,BCH,4/4/2017,bitcoin cash,0,0.186948,0.1024,0.88712,0.01044
