,symbol,date,coin_name,coin_price,compound_average,positive_average,neutral_average,negative_average
0,BTC,10/30/17,bitcoin,6124.28,-0.087608,0.02788,0.9074,0.06472
1,ETH,10/30/17,ethereum,306.8,0.09644,0.04452,0.945,0.01048
2,XRP,10/30/17,ripple,0.2024,0.036008,0.1078,0.83172,0.06048
3,BCH,10/30/17,bitcoin cash,444.93,0.211392,0.12144,0.8578,0.02076
4,ADA,10/30/17,cardano,0.02854,0.129876,0.09192,0.87608,0.032
5,LTC,10/30/17,litecoin,56.22,0.092912,0.04584,0.94132,0.01284
6,XLM,10/30/17,stellar,0.03195,0.213852,0.14872,0.7896,0.06164
7,NEO,10/30/17,neo,28.79,0.097688,0.04164,0.94856,0.0098
8,EOS,10/30/17,eos,0.7125,0.0563,0.03852,0.95032,0.01116
9,XEM,10/30/17,nem,0.2004,0.007516,0.0208,0.96924,0.00996
10,BTC,10/31/17,bitcoin,6451.24,0.172528,0.10632,0.84728,0.0464
11,ETH,10/31/17,ethereum,303.64,0.086624,0.06928,0.90856,0.0222
12,XRP,10/31/17,ripple,0.1975,-0.007128,0.01804,0.9268,0.01516
13,BCH,10/31/17,bitcoin cash,435.48,0.046588,0.07572,0.87988,0.0444
14,ADA,10/31/17,cardano,0.03051,0.0055,0.03228,0.94872,0.019
15,LTC,10/31/17,litecoin,55.5,0.1887,0.10036,0.88988,0.0098
16,XLM,10/31/17,stellar,0.02936,0.183716,0.12028,0.8524,0.02728
17,NEO,10/31/17,neo,28.39,0.01488,0.01416,0.97064,0.0152
18,EOS,10/31/17,eos,0.7826,0.114856,0.06856,0.91572,0.01572
19,XEM,10/31/17,nem,0.1867,0.005836,0.0158,0.96872,0.01548
,,,,,,,,
,,,,,,,,
