,symbol,date,coin_name,coin_price,compound_average,positive_average,neutral_average,negative_average
0,BTC,2018-02-01,bitcoin,9114.72,-0.004739999999999998,0.06376,0.86692,0.06931999999999999
1,ETH,2018-02-01,ethereum,1026.19,0.202804,0.1158,0.8491999999999998,0.03504
2,XRP,2018-02-01,ripple,0.9503,0.06568,0.04507999999999999,0.9424399999999999,0.01252
3,BCH,2018-02-01,bitcoin cash,1267.99,0.09836400000000001,0.07852,0.87848,0.043120000000000006
4,ADA,2018-02-01,cardano,0.4217,0.092584,0.050600000000000006,0.94124,0.008159999999999999
5,LTC,2018-02-01,litecoin,141.37,0.184472,0.09164,0.85828,0.05008
6,XLM,2018-02-01,stellar,0.4556,0.335664,0.15988,0.80348,0.036680000000000004
7,NEO,2018-02-01,neo,125.59,0.0832,0.06312,0.9368799999999999,0.0
8,EOS,2018-02-01,eos,10.03,0.107248,0.05107999999999999,0.8786400000000001,0.03028
9,XEM,2018-02-01,nem,0.6573,-0.019823999999999998,0.003,0.97592,0.02108
10,BTC,2018-02-02,bitcoin,8870.82,0.035264000000000004,0.06412,0.88424,0.05164
11,ETH,2018-02-02,ethereum,917.47,0.19218400000000002,0.1416,0.82904,0.02936
12,XRP,2018-02-02,ripple,0.8989,0.223116,0.11960000000000001,0.8615599999999999,0.01884
13,BCH,2018-02-02,bitcoin cash,1192.13,0.035556000000000004,0.05396,0.9079999999999999,0.03804
14,ADA,2018-02-02,cardano,0.4047,0.259792,0.07612000000000001,0.91452,0.00936
15,LTC,2018-02-02,litecoin,131.17,0.107984,0.133,0.8009999999999999,0.06596
16,XLM,2018-02-02,stellar,0.415,0.22223600000000002,0.14284,0.7800400000000001,0.03708
17,NEO,2018-02-02,neo,121.63,0.08044400000000002,0.034640000000000004,0.95256,0.0128
18,EOS,2018-02-02,eos,10.23,0.14636,0.04644,0.9375200000000001,0.016040000000000002
19,XEM,2018-02-02,nem,0.5972,0.024496000000000004,0.005520000000000001,0.99448,0.0
20,BTC,2018-02-03,bitcoin,9251.27,0.12438000000000002,0.05948000000000001,0.8868799999999999,0.053559999999999997
21,ETH,2018-02-03,ethereum,970.87,0.04903600000000001,0.028280000000000003,0.9372800000000001,0.03444
22,XRP,2018-02-03,ripple,0.9595,0.147756,0.10615999999999999,0.8208799999999999,0.03292
23,BCH,2018-02-03,bitcoin cash,1273.08,-0.009607999999999998,0.05196,0.8996000000000001,0.048440000000000004
24,ADA,2018-02-03,cardano,0.464,0.288872,0.11556000000000001,0.88276,0.00172
25,LTC,2018-02-03,litecoin,161.0,0.18904800000000002,0.08676,0.8894799999999999,0.023719999999999998
26,XLM,2018-02-03,stellar,0.4444,0.18557600000000002,0.12664,0.8363200000000001,0.03712
27,NEO,2018-02-03,neo,124.49,0.039036,0.030520000000000002,0.9546399999999999,0.0148
28,EOS,2018-02-03,eos,10.64,0.157168,0.045200000000000004,0.9362400000000001,0.01856
29,XEM,2018-02-03,nem,0.6426,0.049552,0.03496,0.96268,0.0023599999999999997
30,BTC,2018-02-04,bitcoin,8218.05,0.15058,0.06904,0.9123600000000001,0.0186
31,ETH,2018-02-04,ethereum,827.59,0.155112,0.07776000000000001,0.90396,0.01828
32,XRP,2018-02-04,ripple,0.8166,0.101052,0.06948,0.89932,0.03128
33,BCH,2018-02-04,bitcoin cash,1158.57,0.0974,0.05456000000000001,0.9006800000000001,0.04476
34,ADA,2018-02-04,cardano,0.382,0.104512,0.06796,0.9120400000000001,0.02
35,LTC,2018-02-04,litecoin,147.55,0.08567599999999999,0.1004,0.87016,0.02952
36,XLM,2018-02-04,stellar,0.384,0.15440800000000002,0.11944000000000003,0.8250399999999999,0.05556000000000001
37,NEO,2018-02-04,neo,106.85,0.034364,0.02308,0.9769200000000001,0.0
38,EOS,2018-02-04,eos,8.89,0.114648,0.055920000000000004,0.8839200000000002,0.06016
39,XEM,2018-02-04,nem,0.5488,0.050704,0.028920000000000005,0.9619200000000001,0.00912
40,BTC,2018-02-05,bitcoin,6937.08,0.14801600000000004,0.10176000000000002,0.8535600000000001,0.044640000000000006
41,ETH,2018-02-05,ethereum,695.08,0.2065,0.0554,0.9428399999999999,0.0017599999999999998
42,XRP,2018-02-05,ripple,0.6805,0.10728,0.06676,0.9048,0.028440000000000003
43,BCH,2018-02-05,bitcoin cash,884.0,0.12552,0.09996000000000001,0.8668399999999999,0.033120000000000004
44,ADA,2018-02-05,cardano,0.317,-0.014459999999999997,0.02604,0.90732,0.0666
45,LTC,2018-02-05,litecoin,125.04,0.23027999999999998,0.09836,0.88292,0.01864
46,XLM,2018-02-05,stellar,0.323,0.262748,0.13724,0.8054399999999999,0.057319999999999996
