,id,symbol,coin_name,coin_price,date,compound_average,positive_average,neutral_average,negative_average
BTC,1182,BTC,bitcoin,13444.88,2018-01-01,0.2232333333333333,0.042333333333333334,0.9576666666666668,0.0
ETH,7605,ETH,ethereum,756.2,2018-01-01,0.48133333333333334,0.12033333333333333,0.8796666666666667,0.0
XRP,5031,XRP,ripple,2.05,2018-01-01,0.48046666666666665,0.08466666666666667,0.9153333333333333,0.0
BCH,202330,BCH,bitcoin cash / bcc,2319.12,2018-01-01,0.15760000000000002,0.102,0.8656666666666667,0.03233333333333333
ADA,321992,ADA,cardano,0.7022,2018-01-01,0.5257333333333333,0.10933333333333334,0.8793333333333333,0.011000000000000001
LTC,3808,LTC,litecoin,224.34,2018-01-01,0.06143333333333336,0.083,0.8959999999999999,0.020666666666666667
XLM,4614,XLM,stellar,0.484,2018-01-01,0.05660000000000002,0.13566666666666666,0.8036666666666666,0.061
NEO,27368,NEO,neo,78.09,2018-01-01,-0.07543333333333334,0.048666666666666664,0.8906666666666667,0.06066666666666667
EOS,166503,EOS,eos,7.64,2018-01-01,0.1468,0.037333333333333336,0.9626666666666667,0.0
XEM,5285,XEM,nem,1.01,2018-01-01,0.0,0.0,1.0,0.0
