,symbol,date,coin_name,coin_price,compound_average,positive_average,neutral_average,negative_average
0,BTC,01/01/17,bitcoin,995.44,-0.003664,0.05308,0.89604,0.05092
1,ETH,01/01/17,ethereum,8.14,0.07296,0.08452,0.8706,0.04488
2,XRP,01/01/17,ripple,0.0063,0.128944,0.06468,0.887,0.00832
3,BCH,01/01/17,bitcoin cash,0,0.215108,0.08864,0.90512,0.00624
4,ADA,01/01/17,cardano,0,0.011396,0.01392,0.96672,0.01936
5,LTC,01/01/17,litecoin,4.42,0.137948,0.06684,0.92764,0.00552
6,XLM,01/01/17,stellar,0.002447,0.254092,0.13104,0.8616,0.00736
7,NEO,01/01/17,neo,0.1381,0.102628,0.07032,0.90312,0.02656
8,EOS,01/01/17,eos,0,0.091496,0.05136,0.93772,0.01092
9,XEM,01/01/17,nem,0.003363,0.015224,0.01244,0.97224,0.01532
10,BTC,01/02/17,bitcoin,1017.05,0.10644,0.10916,0.84228,0.04856
11,ETH,01/02/17,ethereum,8.33,0.196448,0.12372,0.83644,0.03984
12,XRP,01/02/17,ripple,0.006276,0.015152,0.06728,0.88048,0.05224
13,BCH,01/02/17,bitcoin cash,0,-0.129328,0.0058,0.90776,0.08644
14,ADA,01/02/17,cardano,0,-0.017168,0.04,0.92552,0.03448
15,LTC,01/02/17,litecoin,4.54,0,0,1,0
16,XLM,01/02/17,stellar,0.002507,0.203692,0.1624,0.79436,0.04328
17,NEO,01/02/17,neo,0.1508,0.038952,0.0352,0.9648,0
18,EOS,01/02/17,eos,0,0.046166667,0.036133333,0.939866667,0.024
19,XEM,01/02/17,nem,0.003334,0.00732,0.02328,0.96488,0.01184
20,BTC,01/03/17,bitcoin,1033.3,0.112696,0.0836,0.87796,0.03844
21,ETH,01/03/17,ethereum,9.59,0.144684,0.0646,0.92972,0.00568
22,XRP,01/03/17,ripple,0.006411,0.059564,0.04816,0.94252,0.00936
23,BCH,01/03/17,bitcoin cash,0,-0.089712,0.04464,0.89068,0.06468
24,ADA,01/03/17,cardano,0,-0.000296,0.02192,0.93316,0.04484
25,LTC,01/03/17,litecoin,4.51,0.124172,0.0662,0.9338,0
26,XLM,01/03/17,stellar,0.002566,0.202236,0.10988,0.86256,0.02756
27,NEO,01/03/17,neo,0.1385,0.062412,0.08188,0.8936,0.02452
28,EOS,01/03/17,eos,0,-0.010932,0.0086,0.96684,0.02456
29,XEM,01/03/17,nem,0.003543,0.050248,0.0198,0.9802,0
